trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.002, 'e': 0.6499999999999997}",20,0,13.88399398932794,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.002, 'e': 0.6449999999999997}",20,0,-46.396334248688554,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
72,False,"{'a': 0.002, 'e': 0.6399999999999997}",25,0,-109.10914800529125,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
73,False,"{'a': 0.002, 'e': 0.6349999999999997}",30,0,-58.65343009347884,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.002, 'e': 0.6299999999999997}",25,0,-90.25697471077208,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
75,False,"{'a': 0.002, 'e': 0.6249999999999997}",20,0,-67.81117941483768,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
76,False,"{'a': 0.002, 'e': 0.6199999999999997}",30,16,14.250414046720605,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.002, 'e': 0.6149999999999997}",20,0,-61.72162538513,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
78,False,"{'a': 0.002, 'e': 0.6099999999999997}",20,0,-68.69637193796048,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.002, 'e': 0.6049999999999996}",20,14,8.735958418779681,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.002, 'e': 0.5999999999999996}",20,0,-60.903139917373515,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
81,False,"{'a': 0.002, 'e': 0.5949999999999996}",20,15,8.458199624940173,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.002, 'e': 0.5899999999999996}",20,11,-6.060335238484489,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.002, 'e': 0.5849999999999996}",25,0,-89.3486035653336,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
84,False,"{'a': 0.002, 'e': 0.5799999999999996}",20,0,-36.863352897905536,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
85,False,"{'a': 0.002, 'e': 0.5749999999999996}",25,0,-86.30115394622054,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.002, 'e': 0.5699999999999996}",20,0,-156.74309913819823,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
